player_name,position,predicted_fantasy_points,fantasy_confidence,prediction_date,batting_average_skill,on_base_percentage_skill,slugging_percentage_skill,walk_rate_skill,strikeout_rate_skill,power_rate_skill,skill_confidence,value_score
José Altuve,2B,5.33,0.3,2025-06-22 02:17:36,0.399,0.45,0.7,0.03,0.1,0.1,0.8,38.329
Mookie Betts,OF,6.74,0.3,2025-06-22 02:17:36,0.287,0.439,0.696,0.2,0.2,0.1,0.8,36.137
Manny Machado,3B,5.33,0.3,2025-06-22 02:17:36,0.392,0.449,0.57,0.03,0.25,0.005,0.8,34.914
Pete Alonso,1B,3.05,0.3,2025-06-22 02:17:36,0.4,0.448,0.504,0.03,0.25,0.005,0.7,32.715
Matt Olson,1B,3.88,0.3,2025-06-22 02:17:36,0.4,0.45,0.48,0.2,0.2,0.005,0.7,32.414
Rafael Devers,3B,2.77,0.3,2025-06-22 02:17:36,0.254,0.447,0.493,0.2,0.1,0.005,0.7,29.410999999999998
Freddie Freeman,1B,5.1,0.3,2025-06-22 02:17:36,0.291,0.45,0.3,0.2,0.35,0.005,0.8,26.1
Randy Arozarena,OF,3.73,0.3,2025-06-22 02:17:36,0.247,0.253,0.487,0.03,0.25,0.005,0.7,24.558999999999997
Juan Soto,OF,6.58,0.3,2025-06-22 02:17:36,0.18,0.369,0.3,0.2,0.167,0.005,0.8,22.299
Gleyber Torres,2B,6.73,0.3,2025-06-22 02:17:36,0.197,0.337,0.3,0.167,0.167,0.005,0.7,21.884
